gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	celltype_B_cells_memory_activated	celltype_B_cells_naive	celltype_B_cells_naive_activated	celltype_B_cells_oligoclonal	celltype_B_cells_memory	celltype_T_regs	celltype_T8_activated_1	celltype_T_gd	celltype_T4_activated	celltype_NK_CD16_bright	celltype_T4_naive	celltype_T4_memory	celltype_NK_CD16_bright_activated	celltype_T8_memory	celltype_NK_CD56_bright	celltype_NK_CD56_bright_activated	celltype_MAIT_cells	celltype_T8_naive	celltype_MAIT_cells_activated	celltype_T8_activated_2	celltype_Myeloid_cells
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS04365C3E7	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.014	0.004	0.0	0.051	0.038	0.011	0.0	0.0	0.0	0.012	0.051	0.0	0.0	0.005
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CS0B4A1E5D8	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.014	0.004	0.0	0.051	0.038	0.011	0.0	0.0	0.0	0.012	0.051	0.0	0.0	0.005
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.019	0.035	0.028	0.013	0.007	0.018	0.0	0.036	0.007	0.011	0.01	0.086
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.003	0.002	0.005	0.0	0.0	0.01	0.001	0.016	0.005	0.019	0.035	0.028	0.013	0.007	0.018	0.0	0.036	0.007	0.011	0.01	0.086
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS04365C3E7	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.003	0.002	0.0	0.0	0.0	0.057	0.009	0.034	0.022	0.024	0.035	0.029	0.019	0.025	0.0	0.0	0.012	0.026	0.0	0.027	0.015
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.014	0.004	0.0	0.063	0.028	0.011	0.0	0.0	0.0	0.037	0.007	0.0	0.0	0.005
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CS044C546F0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.014	0.004	0.0	0.063	0.028	0.011	0.0	0.0	0.0	0.037	0.007	0.0	0.0	0.005
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.014	0.004	0.0	0.051	0.038	0.011	0.0	0.0	0.0	0.012	0.051	0.0	0.0	0.005
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CS0B4A1E5D8	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.014	0.004	0.0	0.051	0.038	0.011	0.0	0.0	0.0	0.012	0.051	0.0	0.0	0.005
CD8A	P01732	True	CD8A_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.008	0.009	0.012	0.002	0.008	0.06	3.751	0.065	0.161	0.109	0.359	0.352	0.053	5.584	0.035	0.029	1.21	3.386	0.569	2.941	0.068
CD8A	P01732	True	CD8A_HUMAN	CD8_receptor	CPI-CS0DBD5CD16	0.008	0.009	0.012	0.002	0.008	0.06	3.751	0.065	0.161	0.109	0.359	0.352	0.053	5.584	0.035	0.029	1.21	3.386	0.569	2.941	0.068
CD8B	P10966	True	CD8B_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.008	0.009	0.012	0.002	0.008	0.06	3.751	0.065	0.161	0.109	0.359	0.352	0.053	5.584	0.035	0.029	1.21	3.386	0.569	2.941	0.068
CD8B	P10966	True	CD8B_HUMAN	CD8_receptor	CPI-CS0DBD5CD16	0.008	0.009	0.012	0.002	0.008	0.06	3.751	0.065	0.161	0.109	0.359	0.352	0.053	5.584	0.035	0.029	1.21	3.386	0.569	2.941	0.068
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.0	0.0	0.006	0.0	0.004	0.005	0.028	2.799	0.003	2.11	0.0	0.041	2.518	1.534	4.292	2.725	0.332	0.0	0.671	0.091	0.074
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2C	CPI-CS05AB368CE	0.0	0.0	0.0	0.0	0.004	0.002	0.003	0.142	0.0	0.124	0.007	0.005	0.158	0.331	0.141	0.072	0.009	0.002	0.0	0.003	0.012
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2E	CPI-CS0023FA839	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.046	0.002	0.472	0.0	0.005	0.304	0.524	0.153	0.031	0.0	0.002	0.0	0.016	0.004
KLRC1	P26715	True	NKG2A_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.0	0.0	0.006	0.0	0.004	0.005	0.028	2.799	0.003	2.11	0.0	0.041	2.518	1.534	4.292	2.725	0.332	0.0	0.671	0.091	0.074
KLRC2	P26717	True	NKG2C_HUMAN	CD94:NKG2C	CPI-CS05AB368CE	0.0	0.0	0.0	0.0	0.004	0.002	0.003	0.142	0.0	0.124	0.007	0.005	0.158	0.331	0.141	0.072	0.009	0.002	0.0	0.003	0.012
KLRC3	Q07444	True	NKG2E_HUMAN	CD94:NKG2E	CPI-CS0023FA839	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.046	0.002	0.472	0.0	0.005	0.304	0.524	0.153	0.031	0.0	0.002	0.0	0.016	0.004
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0481C1F9A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS07545410E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0CD56A2CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0013B4F9C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS041DB789A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS07135653F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0054A1D8F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0E97FB627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS0372FC240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS0DF112C1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS0B5273C72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS016FA0A89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS09C6CE302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS0E68F5752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS0798E7707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS08BFBF46D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS02643715E	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0DCC20D87	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0A94347F7	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0F22D52C8	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0E6007E1E	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0B52EC069	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0CDD4E649	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS056A2EEC7	0.004	0.0	0.008	0.004	0.022	0.005	0.013	0.0	0.015	0.0	0.004	0.009	0.004	0.011	0.0	0.001	0.004	0.016	0.0	0.03	0.014
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS08A2EA5F7	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS026456D1C	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS035E6950E	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS0B2E8C8EF	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS02B318AF4	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS07AD29D6C	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS0E193F054	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS00AE5010A	0.003	0.0	0.001	0.0	0.011	0.0	0.001	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS04C0033E6	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0890B81F6	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0C4B40F75	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0657A12E9	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS044358A94	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0FB43E17E	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0252398E9	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS01377664E	0.004	0.0	0.002	0.0	0.001	0.005	0.009	0.0	0.015	0.0	0.0	0.009	0.004	0.002	0.0	0.004	0.0	0.016	0.0	0.004	0.02
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS0507A53BC	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS04EF7616F	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS08F2F1471	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS073E6987B	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS0F8EF2F56	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS0CA549059	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS066C7EA9C	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
LRP5	O75197	True	LRP5_HUMAN	FZD7_LRP5	CPI-CS069C5C656	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.018
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0481C1F9A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS07545410E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0CD56A2CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0013B4F9C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS041DB789A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS07135653F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0054A1D8F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0E97FB627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0F29C6285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS01D8707DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS07B775F8D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0D8D740D0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0113A05E1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0CF3656D2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0BCEC27D8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
