gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	celltype_NK_CD16_bright	celltype_Monocytes_non-classical	celltype_Monocytes_intermediate	celltype_iNKT_cells	celltype_T4_naive	celltype_TEM_CD8+	celltype_B_cells_memory_activated	celltype_T4_activated	celltype_MAIT_cells	celltype_T_gd	celltype_T_regs	celltype_Monocytes_classical	celltype_B_cells_naive	celltype_Macrophages	celltype_TCM_CD8+	celltype_cDC1	celltype_T4_memory	celltype_TMRA_CD8+	celltype_NK_CD56_bright	celltype_T8_activated	celltype_T8_naive	celltype_Precursor_cells	celltype_NK_CD16_bright_activated	celltype_B_cells_naive_activated	celltype_NK_CD56_bright_activated	celltype_B_cells_memory	celltype_cDC2	celltype_Plasma_cells	celltype_pDC
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS03E0522B7	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS02B77E621	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS075115600	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	MIS_receptor_3	CPI-CS0B5D1E156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.006	0.048	0.026	0.018	0.018	0.012	0.007	0.013	0.011	0.005	0.018	0.04	0.003	0.061	0.015	0.049	0.041	0.002	0.0	0.019	0.018	0.026	0.014	0.005	0.03	0.015	0.01	0.012	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.006	0.048	0.026	0.018	0.018	0.012	0.007	0.013	0.011	0.005	0.018	0.04	0.003	0.061	0.015	0.049	0.041	0.002	0.0	0.019	0.018	0.026	0.014	0.005	0.03	0.015	0.01	0.012	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.044	0.002	0.003	0.034	0.006	0.056	0.015	0.013	0.023	0.062	0.018	0.002	0.004	0.005	0.025	0.007	0.02	0.057	0.0	0.019	0.017	0.007	0.017	0.012	0.0	0.03	0.008	0.012	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.044	0.002	0.003	0.034	0.006	0.056	0.015	0.013	0.023	0.062	0.018	0.002	0.004	0.005	0.025	0.007	0.02	0.057	0.0	0.019	0.017	0.007	0.017	0.012	0.0	0.03	0.008	0.012	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.044	0.002	0.003	0.034	0.006	0.056	0.015	0.013	0.023	0.062	0.018	0.002	0.004	0.005	0.025	0.007	0.02	0.057	0.0	0.019	0.017	0.007	0.017	0.012	0.0	0.03	0.008	0.012	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.044	0.002	0.003	0.034	0.006	0.056	0.015	0.013	0.023	0.062	0.018	0.002	0.004	0.005	0.025	0.007	0.02	0.057	0.0	0.019	0.017	0.007	0.017	0.012	0.0	0.03	0.008	0.012	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.044	0.002	0.003	0.034	0.006	0.056	0.015	0.013	0.023	0.062	0.018	0.002	0.004	0.005	0.025	0.007	0.02	0.057	0.0	0.019	0.017	0.007	0.017	0.012	0.0	0.03	0.008	0.012	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS03DDE0728	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS03E0522B7	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.006	0.048	0.026	0.016	0.018	0.001	0.006	0.008	0.006	0.005	0.011	0.04	0.003	0.034	0.015	0.049	0.019	0.002	0.0	0.004	0.011	0.0	0.014	0.0	0.007	0.009	0.01	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.027	0.073	0.025	0.016	0.025	0.001	0.006	0.008	0.006	0.013	0.011	0.044	0.005	0.034	0.019	0.1	0.019	0.011	0.021	0.004	0.011	0.0	0.018	0.0	0.007	0.009	0.02	0.005	0.033
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.027	0.073	0.025	0.016	0.025	0.001	0.006	0.008	0.006	0.013	0.011	0.044	0.005	0.034	0.019	0.1	0.019	0.011	0.021	0.004	0.011	0.0	0.018	0.0	0.007	0.009	0.02	0.005	0.033
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.027	0.073	0.025	0.016	0.025	0.001	0.006	0.008	0.006	0.013	0.011	0.044	0.005	0.034	0.019	0.1	0.019	0.011	0.021	0.004	0.011	0.0	0.018	0.0	0.007	0.009	0.02	0.005	0.033
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.027	0.073	0.025	0.016	0.025	0.001	0.006	0.008	0.006	0.013	0.011	0.044	0.005	0.034	0.019	0.1	0.019	0.011	0.021	0.004	0.011	0.0	0.018	0.0	0.007	0.009	0.02	0.005	0.033
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.027	0.073	0.025	0.016	0.025	0.001	0.006	0.008	0.006	0.013	0.011	0.044	0.005	0.034	0.019	0.1	0.019	0.011	0.021	0.004	0.011	0.0	0.018	0.0	0.007	0.009	0.02	0.005	0.033
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.0	0.0	0.0	0.015	0.025	0.0	0.001	0.008	0.006	0.001	0.007	0.0	0.004	0.003	0.011	0.0	0.019	0.0	0.0	0.004	0.011	0.0	0.0	0.0	0.0	0.005	0.047	0.006	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.0	0.0	0.0	0.015	0.025	0.0	0.001	0.008	0.006	0.001	0.007	0.0	0.004	0.003	0.011	0.0	0.019	0.0	0.0	0.004	0.011	0.0	0.0	0.0	0.0	0.005	0.047	0.006	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.0	0.0	0.0	0.015	0.025	0.0	0.001	0.008	0.006	0.001	0.007	0.0	0.004	0.003	0.011	0.0	0.019	0.0	0.0	0.004	0.011	0.0	0.0	0.0	0.0	0.005	0.047	0.006	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CS044C546F0	0.0	0.0	0.0	0.015	0.025	0.0	0.001	0.008	0.006	0.001	0.007	0.0	0.004	0.003	0.011	0.0	0.019	0.0	0.0	0.004	0.011	0.0	0.0	0.0	0.0	0.005	0.047	0.006	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CS0D8565F53	0.0	0.0	0.0	0.015	0.025	0.0	0.001	0.008	0.006	0.001	0.007	0.0	0.004	0.003	0.011	0.0	0.019	0.0	0.0	0.004	0.011	0.0	0.0	0.0	0.0	0.005	0.047	0.006	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0D97B02B1	0.0	0.0	0.0	0.015	0.025	0.0	0.001	0.008	0.006	0.001	0.007	0.0	0.004	0.003	0.011	0.0	0.019	0.0	0.0	0.004	0.011	0.0	0.0	0.0	0.0	0.005	0.047	0.006	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.037	0.002	0.003	0.016	0.006	0.001	0.006	0.008	0.006	0.017	0.011	0.002	0.004	0.005	0.019	0.007	0.019	0.013	0.0	0.004	0.011	0.0	0.018	0.0	0.0	0.009	0.008	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.037	0.002	0.003	0.016	0.006	0.001	0.006	0.008	0.006	0.017	0.011	0.002	0.004	0.005	0.019	0.007	0.019	0.013	0.0	0.004	0.011	0.0	0.018	0.0	0.0	0.009	0.008	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.037	0.002	0.003	0.016	0.006	0.001	0.006	0.008	0.006	0.017	0.011	0.002	0.004	0.005	0.019	0.007	0.019	0.013	0.0	0.004	0.011	0.0	0.018	0.0	0.0	0.009	0.008	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.037	0.002	0.003	0.016	0.006	0.001	0.006	0.008	0.006	0.017	0.011	0.002	0.004	0.005	0.019	0.007	0.019	0.013	0.0	0.004	0.011	0.0	0.018	0.0	0.0	0.009	0.008	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.037	0.002	0.003	0.016	0.006	0.001	0.006	0.008	0.006	0.017	0.011	0.002	0.004	0.005	0.019	0.007	0.019	0.013	0.0	0.004	0.011	0.0	0.018	0.0	0.0	0.009	0.008	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS02B77E621	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS075115600	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.006	0.006	0.013	0.018	0.018	0.012	0.001	0.006	0.002	0.005	0.01	0.009	0.003	0.012	0.011	0.005	0.018	0.002	0.0	0.013	0.009	0.012	0.003	0.0	0.009	0.002	0.0	0.013	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.016	0.006	0.013	0.016	0.026	0.015	0.001	0.006	0.002	0.009	0.01	0.009	0.005	0.012	0.011	0.005	0.018	0.011	0.051	0.013	0.009	0.01	0.003	0.0	0.009	0.002	0.0	0.005	0.0
